ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAType;ZdAPostalRegion;ZdATown,
473481;1097273-1209703;2019-03-14T01:00:00+01:00;2023-07-03T18:03:45+02:00;Quai de la Gare;654010;6859852;71597;onstreetBus;75113;Paris 13e,
49744;49744-69104;2014-12-29T16:31:51+01:00;2023-07-03T14:09:53+02:00;Newton;673772;6875982;69104;onstreetBus;77294;Mitry-Mory,
55410;55410-61209;2014-12-29T16:31:51+01:00;2023-07-03T12:07:24+02:00;Eglise;677427;6796361;61209;onstreetBus;77333;Nemours,
473555;1376428-1119854;2019-03-18T01:00:00+01:00;2023-07-03T12:07:24+02:00;Gare Souppes Parvis;680318;6786890;61094;onstreetBus;77458;Souppes-sur-Loing,
423759;781027-781029;2016-08-01T23:25:07+02:00;2023-07-03T10:29:57+02:00;Mairie;689770;6876217;423760;onstreetBus;77358;Penchard,
44878;724238-724239;2014-12-29T01:00:00+01:00;2023-06-30T22:30:24+02:00;Saint Nicolas;659482;6876289;65741;onstreetBus;95277;Gonesse,
57286;57286-72757;2014-12-29T16:31:51+01:00;2023-06-30T22:22:08+02:00;Route de Gonesse;662367;6872560;72757;onstreetBus;93005;Aulnay-sous-Bois,
49676;1207040-1207041;2014-12-29T01:00:00+01:00;2023-06-30T22:18:46+02:00;Résidence Ambroise Croizat;661863;6881950;66671;onstreetBus;95280;Goussainville,
46357;46357-66052;2014-12-29T16:31:51+01:00;2023-06-30T22:06:56+02:00;Myosotis;658035;6877493;66052;onstreetBus;95277;Gonesse,
44808;44808-67053;2014-12-29T16:31:51+01:00;2023-06-30T21:28:52+02:00;Salle des Fêtes;663380;6886345;67053;onstreetBus;95371;Marly-la-Ville,
44752;44752-72469;2014-12-29T16:31:51+01:00;2023-06-30T21:28:48+02:00;Rue des Peupliers;660782;6867427;72469;onstreetBus;93008;Bobigny,
49674;49674-66735;2014-12-29T16:31:51+01:00;2023-06-30T21:28:44+02:00;Renaissance;661486;6882492;66735;onstreetBus;95280;Goussainville,
49719;49719-69411;2014-12-29T16:31:51+01:00;2023-06-30T21:28:36+02:00;Piscine;668999;6887503;69411;onstreetBus;95580;Saint-Witz,
46355;734889-1351267;2014-12-29T01:00:00+01:00;2023-06-30T21:28:25+02:00;Pierre Brossolette;657780;6877503;66038;onstreetBus;95277;Gonesse,
44079;44079-723865;2014-12-29T16:31:51+01:00;2023-06-30T21:27:41+02:00;Marcel Cerdan;660474;6880487;419673;onstreetBus;95280;Goussainville,
46745;46745-1432685;2014-12-29T16:31:51+01:00;2023-06-30T21:27:36+02:00;Maison de Retraite;663680;6882414;485820;onstreetBus;95351;Louvres,
423633;777577-67064;2016-07-26T16:46:09+02:00;2023-06-30T21:27:32+02:00;Mairie;663410;6886660;67064;onstreetBus;95371;Marly-la-Ville,
43769;724128-724129;2014-12-29T01:00:00+01:00;2023-06-30T20:05:26+02:00;Les Mûriers;656259;6874657;65416;onstreetBus;95268;Garges-lès-Gonesse,
49646;49646-69448;2014-12-29T16:31:51+01:00;2023-06-30T20:03:29+02:00;Les Grands Prés;666998;6888975;69448;onstreetBus;95604;Survilliers,
54809;54809-65935;2014-12-29T16:31:51+01:00;2023-06-30T19:18:35+02:00;Hector Berlioz;658235;6877051;65935;onstreetBus;95277;Gonesse,
49599;49599-66954;2014-12-29T16:31:51+01:00;2023-06-30T19:16:35+02:00;Gymnase;663425;6884712;66954;onstreetBus;95509;Puiseux-en-France,
473361;1092860-1092861;2019-03-12T01:00:00+01:00;2023-06-30T19:02:44+02:00;Gare de Groslay (r. Goldstein);652496;6876399;65749;onstreetBus;95288;Groslay,
54818;1242328-1242329;2014-12-29T01:00:00+01:00;2023-06-30T18:51:17+02:00;Fontaine Cypierre;660417;6876276;65758;onstreetBus;95277;Gonesse,
57283;57283-72726;2014-12-29T16:31:51+01:00;2023-06-30T18:39:27+02:00;Croix Rouge;662802;6872038;72726;onstreetBus;93005;Aulnay-sous-Bois,
49604;852566-852567;2014-12-29T01:00:00+01:00;2023-06-30T18:35:14+02:00;Cottage Delacroix;663084;6883069;66801;onstreetBus;95351;Louvres,
423592;843846-851412;2016-07-25T02:00:00+02:00;2023-06-30T17:49:15+02:00;Eglise Saint Eloi;664429;6877840;69161;onstreetBus;95527;Roissy-en-France,
53733;53733-68870;2014-12-29T16:31:51+01:00;2023-06-30T17:18:18+02:00;Les Pommiers;676769;6871899;68870;onstreetBus;77118;Claye-Souilly,
49822;49822-69203;2014-12-29T16:31:51+01:00;2023-06-30T17:05:05+02:00;La Marche;688026;6878884;69203;onstreetBus;77309;Monthyon,
42443;42443-1486624;2014-12-29T16:31:51+01:00;2023-06-30T16:09:19+02:00;Carrefour de l'Europe;660907;6880393;66515;onstreetBus;95280;Goussainville,
42438;42438-65407;2014-12-29T16:31:51+01:00;2023-06-30T16:02:09+02:00;Carnot;657169;6874760;65407;onstreetBus;95268;Garges-lès-Gonesse,
48436;1326694-1326695;2014-12-29T01:00:00+01:00;2023-06-30T15:57:03+02:00;Château;647711;6841731;60948;onstreetBus;91044;Ballainvilliers,
42351;42351-72829;2014-12-29T16:31:51+01:00;2023-06-30T15:37:06+02:00;Bois d'Auteuil;666585;6846437;72829;onstreetBus;94075;Villecresnes,
52344;52344-69037;2014-12-29T16:31:51+01:00;2023-06-30T11:28:30+02:00;Galilée;669509;6874787;69037;onstreetBus;77294;Mitry-Mory,
43017;1349461-1349462;2014-12-29T01:00:00+01:00;2023-06-30T11:25:19+02:00;Foyer des Bruyères;667481;6875808;73576;onstreetBus;93073;Tremblay-en-France,
49846;871707-871708;2014-12-29T01:00:00+01:00;2023-06-30T11:19:57+02:00;Église;684222;6878699;69194;onstreetBus;77366;Le Plessis-l'Évêque,
49805;49805-782205;2014-12-29T16:31:51+01:00;2023-06-30T11:08:25+02:00;Collège Georges Brassens;678299;6882116;423849;onstreetBus;77420;Saint-Mard,
420332;732232-732328;2015-10-21T23:14:29+02:00;2023-06-30T10:52:04+02:00;Cité Technique;690122;6872863;420351;onstreetBus;77513;Villenoy,
49823;49823-69200;2014-12-29T16:31:51+01:00;2023-06-30T10:41:54+02:00;Centre;687333;6878619;69200;onstreetBus;77309;Monthyon,
42476;42476-69064;2014-12-29T16:31:51+01:00;2023-06-30T10:35:50+02:00;Centre Commercial;690160;6875107;69064;onstreetBus;77143;Crégy-lès-Meaux,
49771;49771-69139;2014-12-29T16:31:51+01:00;2023-06-30T10:31:56+02:00;Calvaire;675511;6877104;69139;onstreetBus;77123;Compans,
56375;56375-68631;2014-12-29T16:31:51+01:00;2023-06-30T10:26:55+02:00;Bordeaux;675966;6866829;68631;onstreetBus;77517;Villevaudé,
