"JOUR","CODE_STIF_TRNS","CODE_STIF_RES","CODE_STIF_ARRET","LIBELLE_ARRET","ID_REFA_LDA","CATEGORIE_TITRE","NB_VALD","Month","Year","Weekday","is_holiday"
2023-04-01,100,110,614,"OURCQ",71972,"AMETHYSTE",275,"Apr",2023,"Saturday",FALSE
2018-01-06,100,110,500,"MAISONS-ALFORT-STADE",70426,"NAVIGO",32,"Jan",2018,"Saturday",FALSE
2020-09-07,800,803,258,"EPINAY-SUR-SEINE",72383,"NAVIGO JOUR",5,"Sep",2020,"Monday",FALSE
2018-02-27,810,801,596,"NOISIEL",68153,"NAVIGO",222,"Feb",2018,"Tuesday",FALSE
2018-12-07,100,110,694,"PORTE DE PANTIN",71989,"NAVIGO",104,"Dec",2018,"Friday",FALSE
2018-04-18,810,801,438,"LE VESINET-CENTRE",64514,"FGT",56,"Apr",2018,"Wednesday",FALSE
2021-02-23,100,110,47,"BALARD",71073,"NAVIGO",123,"Feb",2021,"Tuesday",FALSE
2022-01-16,810,802,617,"PALAISEAU-VILLEBON",63067,"NAVIGO",8,"Jan",2022,"Sunday",FALSE
2019-04-02,800,803,380,"JOUY-EN-JOSAS",63523,"TST",16,"Apr",2019,"Tuesday",FALSE
2020-10-06,800,850,711,"PROVINS",62139,"AMETHYSTE",5,"Oct",2020,"Tuesday",FALSE
2017-05-03,100,110,628,"PASTEUR",71125,"FGT",301,"May",2017,"Wednesday",FALSE
2023-03-24,810,802,680,"PORT-ROYAL",71106,"FGT",140,"Mar",2023,"Friday",FALSE
2021-05-29,100,110,791,"SEGUR",71157,"AUTRE TITRE",209,"May",2021,"Saturday",FALSE
2018-04-11,800,854,205,"CONFLANS-SAINTE-HONORINE",66095,"NAVIGO JOUR",5,"Apr",2018,"Wednesday",FALSE
2021-05-24,100,110,362,"INVALIDES",71274,"NON DEFINI",150,"May",2021,"Monday",TRUE
2020-11-27,100,110,479,"LOURMEL",71086,"FGT",107,"Nov",2020,"Friday",FALSE
2022-12-09,810,801,473,"LOGNES        ",68123,"IMAGINE R",1022,"Dec",2022,"Friday",FALSE
2023-02-15,100,110,197,"COMMERCE",71132,"FGT",148,"Feb",2023,"Wednesday",FALSE
2019-06-24,800,803,811,"SAINT-CHERON",59882,"NAVIGO",5,"Jun",2019,"Monday",FALSE
2017-06-07,100,110,383,"JUSSIEU",71148,"AUTRE TITRE",32,"Jun",2017,"Wednesday",FALSE
2018-06-12,810,802,680,"PORT ROYAL",71106,"NAVIGO JOUR",5,"Jun",2018,"Tuesday",FALSE
2019-02-17,800,854,812,"SAINT-CLOUD",73749,"FGT",70,"Feb",2019,"Sunday",FALSE
2017-05-05,800,853,198,"COMPANS",69136,"NAVIGO",27,"May",2017,"Friday",FALSE
2018-08-06,800,851,284,"FONTAINEBLEAU-AVON",61579,"FGT",90,"Aug",2018,"Monday",FALSE
